ORDERNUMBER,PRODUCTCODE,PROMOTION_NAME,CALC_SALES
10100,S18_3104,,3556.8
10103,S54_2438,,3255.0
10107,S50_2054,,5381.08
10109,S47_4111,,3496.3999999999996
10113,S61_4866,,10756.32
10115,S26_4256,,4395.82
10117,S66_2185,,5209.9
10118,S29_3724,,3199.86
10124,S17_4671,,3091.04
10125,S52_3637,,3550.25
10127,S12_2274,,5076.03
10130,S24_1518,,7181.31
10133,S52_3354,,12367.859999999999
10135,S32_1918,,4760.0
10137,S60_1776,,4490.75
10139,S61_2318,,3678.95
10141,S42_2849,,5139.75
10144,S60_1463,,10089.0
10146,S16_1735,,10403.36
10148,S57_1143,,3966.0299999999997
10153,S21_4407,,6329.820000000001
10156,S34_3438,,3467.84
10160,S44_1524,,7099.16
10165,S36_3175,,13098.72
10176,S58_1713,,7963.68
10177,S62_4453,,8998.68
10181,S20_4568,,7863.000000000001
10188,S63_4211,,9173.41
10190,S59_2522,,11676.5
10191,S46_1028,,4562.29
10199,S66_4525,,9828.81
10201,S17_2744,,13101.07
10203,S45_3067,,6058.25
10204,S41_1915,,10595.18
10208,S24_3034,,4121.0
10218,S68_4953,,8633.1
10221,S11_1851,,6804.599999999999
10222,S61_2157,,7266.24
10225,S40_4881,,4983.18
10229,S26_2382,,3681.28
10232,S49_2279,,5080.32
10236,S28_4121,,4810.8
10240,S17_3867,,8479.45
10241,S58_1350,,10502.0
10243,S41_1392,,3006.25
10247,S48_4035,,3395.04
10248,S27_4694,,4788.6
10256,S12_2304,,12277.8
10260,S41_4207,,3264.0
10266,S14_3953,,3814.97
10268,S51_3180,,6709.5
10269,S45_4467,,7225.92
10271,S47_1417,,5467.4400000000005
10274,S56_3841,,7676.52
10276,S55_4376,,7056.86
10279,S62_3629,,10644.0
10283,S16_2128,,6649.17
10288,S46_2257,,9238.53
10290,S10_4174,,3514.2799999999997
10296,S65_3222,,7760.74
10301,S59_3723,,7524.0
10321,S62_4533,,6423.4800000000005
10325,S22_4555,,5886.0
10326,S33_3723,,11261.16
10330,S11_2496,,7620.11
10334,S40_3508,,8797.86
10337,S43_3740,,8756.1
10340,S54_1346,,5015.84
10345,S26_4510,,4055.1
10348,S46_1964,,13274.820000000002
10352,S18_4655,,6516.0
10355,S23_1926,,8730.25
10359,S21_4669,,5350.92
10360,S62_1672,,4805.1
10362,S65_3584,,3783.2
10366,S21_1486,,4636.84
10370,S46_4210,,9291.869999999999
10377,S61_1196,,3663.44
10388,S31_2680,,3210.66
10393,S15_4935,,7564.05
10398,S63_3855,,8663.64
10406,S65_1776,,4621.92
10407,S53_3677,,5282.64
10409,S46_3791,,6189.3
10410,S22_3714,,3625.25
10413,S35_1565,,4308.78
10416,S39_2730,,6190.2
10419,S42_3576,,4357.9800000000005
10423,S42_1586,,5304.69
10437,S11_3445,,5363.76
10443,S65_2412,,6437.0
10446,S16_2739,,7584.04
10449,S46_2335,,3800.58
10450,S10_1139,,6482.42
10451,S33_1990,,6503.38
10454,S11_1953,,4042.8500000000004
10456,S41_2979,,3207.56
10458,S32_1883,,4530.650000000001
10463,S25_2085,,4519.9400000000005
10465,S32_3946,,6920.42
10466,S17_2660,,6293.4
10469,S27_3383,,6161.96
10471,S51_3650,,4297.04
10475,S60_2985,,3301.76
10477,S58_2919,,4813.29
10479,S68_2807,,6570.0
10481,S45_3933,,4168.74
10483,S54_1535,,7727.0599999999995
10486,S19_2894,,6695.7300000000005
10490,S16_1135,,3189.0
10492,S58_3973,,4914.2
10503,S26_2532,,11061.9
10507,S18_4672,,6295.3
10508,S37_4312,,12547.140000000001
10510,S28_1527,,3252.0
10511,S67_4051,,11676.210000000001
10513,S42_1157,,3308.03
10525,S18_3968,,4271.33
10528,S20_1012,,5754.5599999999995
10534,S45_1064,,6053.08
10541,S44_3004,,3248.0
10546,S18_3047,,4154.76
10550,S16_2819,,4509.0
10553,S44_3016,,5225.4400000000005
10558,S55_1946,,4684.08
10559,S67_3959,,5051.160000000001
10561,S47_4516,,7881.16
10562,S23_1353,,7667.2300000000005
10568,S66_2552,,5317.15
10570,S46_2406,,7799.000000000001
10572,S58_3745,,4199.85
10573,S56_3380,,3480.0
10577,S52_1357,,3252.6
10581,S30_4482,,3247.42
10588,S11_3139,,3369.6
10590,S61_2398,,8096.2
10602,S25_4172,,9065.28
10603,S17_2892,,3652.3199999999997
10607,S49_4319,,5603.58
10614,S47_3660,,3258.58
10617,S29_4206,,7047.6900000000005
10621,S57_2779,,9931.05
10623,S39_2610,,3691.72
10626,S39_4790,,6592.67
10628,S65_3006,,7892.1
10629,S53_4942,,11910.92
10636,S17_3310,,9344.73
10637,S23_3084,,8191.219999999999
10640,S31_2986,,8512.92
10644,S61_4005,,11936.400000000001
10647,S39_1997,,6937.5
10652,S27_3658,,5643.6
10654,S15_4341,,6821.12
10657,S50_4887,,3667.24
10659,S47_4073,,14124.74
10660,S57_3581,,9344.64
10663,S64_4074,,3375.69
10678,S18_4028,,4320.6
10682,S28_4443,,4918.04
10684,S24_3761,,4290.8
10685,S26_3927,,3993.28
10690,S44_1299,,5730.4
10692,S33_2211,,11919.050000000001
10698,S19_4570,,6378.82
10699,S22_4205,,5302.139999999999
10703,S53_4245,,6543.900000000001
10704,S53_2038,,10352.25
10711,S40_1621,,5711.75
10714,S29_4046,,4085.46
10720,S48_1781,,4220.5
10724,S10_1376,,3427.7400000000002
10726,S30_2851,,6291.04
10729,S53_2540,,12210.24
10731,S37_3475,,3010.24
10742,S53_3271,,3726.2999999999997
10751,S11_1450,,10923.48
10755,S57_1234,,5861.6
10758,S15_3769,,3561.2999999999997
10759,S18_4658,,7055.360000000001
10760,S57_3678,,6620.25
10761,S28_1973,,3241.92
10763,S32_3662,,8645.85
10769,S14_1724,,5586.56
10773,S51_2725,,11521.0
10777,S67_1434,,7630.0
10781,S15_3494,,6647.2
10783,S47_4298,,7167.599999999999
10788,S36_3636,,7007.5599999999995
10792,S50_2200,,6204.469999999999
10793,S39_4374,,6874.98
10797,S24_2355,,4725.2
10801,S59_1017,,3597.28
10804,S24_1978,,3678.16
10806,S26_2111,,4048.32
10814,S42_3222,,4843.200000000001
10816,S39_1126,,6581.85
10826,S27_2610,,3179.36
10837,S50_2469,,10759.89
10841,S54_1236,,6037.349999999999
10845,S49_4584,,8360.94
10849,S39_1772,,10066.0
10850,S35_2267,,4471.599999999999
10856,S53_1133,,3832.08
10859,S23_2545,,7427.51
10860,S38_4946,,4101.59
10864,S67_3620,,3248.19
10865,S49_3874,,8046.870000000001
10869,S60_1210,,6735.6
10873,S67_1395,,3985.0
10876,S58_2032,,5853.900000000001
10879,S35_4708,,6623.37
10881,S28_4026,,6976.13
10885,S51_1211,,7885.94
10887,S32_1811,,6164.91
10888,S59_4169,,5574.96
10894,S10_3311,,11454.37
10906,S54_1379,,6185.249999999999
10910,S59_4709,,5553.360000000001
10912,S65_3954,,3449.7700000000004
10915,S59_3255,,3072.08
10925,S60_3994,,9350.880000000001
10927,S13_4627,,6255.599999999999
10932,S69_1856,,11441.01
10935,S17_4123,,11870.650000000001
10939,S24_4483,,5128.200000000001
10942,S58_1551,,6695.5
10945,S70_3845,,4029.4800000000005
10949,S42_1404,,3757.0499999999997
10952,S49_4230,,9981.4
10955,S25_2150,,4319.639999999999
10960,S53_2008,,4058.58
10962,S55_4041,,10867.119999999999
10978,S55_4027,,6986.7
10982,S61_1061,,13863.16
10986,S42_4487,,4079.1499999999996
10989,S12_4282,,13195.84
10992,S33_1749,,5755.27
10993,S66_1375,,8967.779999999999
10997,S70_2759,,6060.32
10999,S67_1329,,5761.56
11008,S64_1966,,9109.26
11010,S44_3120,,3055.08
11012,S38_3803,,6818.91
11015,S21_2895,,3477.1899999999996
